1,2,3,4,5,6
15,19,22,29,33,37
2,4,5,7,24,33
3,12,16,21,26,36
1,2,14,15,18,32
6,15,20,25,28,30
2,15,17,18,20,34
2,7,9,14,23,24
10,13,20,35,36,37
9,18,20,31,32,37
2,4,17,20,26,34
7,12,15,27,33,37
1,3,4,7,20,34
3,9,12,17,24,30
5,8,10,16,19,31
12,16,24,29,33,35
3,5,10,11,34,36
4,15,16,17,35,37
9,13,16,17,34,35
15,18,21,29,31,34
15,19,29,31,34,35
10,11,14,19,20,29
6,7,12,18,25,26
9,16,18,20,21,25
1,2,3,5,22,28
8,12,15,23,34,35
16,17,21,28,33,37
17,18,24,30,36,37
4,6,8,32,35,37
4,7,12,18,20,36
9,15,17,18,25,26
1,2,10,15,25,32
7,10,14,18,20,36
1,5,13,24,30,37
1,4,11,26,28,34
15,17,23,24,27,31
1,16,20,24,29,36
7,11,17,21,23,37
1,2,9,21,22,36
3,11,15,17,22,23
1,6,19,23,33,37
4,11,17,24,25,30
21,24,30,32,36,37
6,10,16,20,23,30
5,16,19,25,28,34
4,16,19,29,30,32
1,3,4,18,24,26
2,8,12,17,26,35
8,11,13,16,32,37
5,9,12,16,20,26
2,9,20,22,23,33
6,10,16,19,27,32
7,12,18,23,34,36
2,16,17,31,35,36
3,12,15,16,27,34
10,16,21,23,35,37
4,8,12,14,22,24
1,12,14,20,21,29
5,11,13,14,34,36
3,4,19,23,27,33
3,14,17,24,30,35
10,14,19,20,23,34
12,13,15,26,28,36
7,8,11,13,15,28
5,12,17,19,24,34
6,16,18,22,26,31
5,6,8,12,29,35
6,14,16,19,21,30
6,13,21,23,24,29
8,12,13,19,23,29
4,5,7,8,15,33
8,10,17,19,24,32
4,11,18,19,22,28
3,7,14,17,18,20
2,7,8,9,13,28
2,17,19,21,26,31
